,Name,Rating,Price,RAM,Display,Camera,Battery,Processor,Number of People Rated,Number of People Review
69,Nokia 105 ss,4.4,"1,549",8,16.76 cm (6.6 inch) HD+ Display,50MP + AI Lens | 5MP Front Camera,5000 mAh Battery,G37 Processor,"7,747",458
70,"POCO C55 (Forest Green, 64 GB)",4.1,"7,499",8,16.76 cm (6.6 inch) HD+ Display,50MP + AI Lens | 5MP Front Camera,5000 mAh Battery,G37 Processor,"23,415","2,077"
71,"POCO M6 Pro 5G (Power Black, 64 GB)",4.2,"10,999",4,17.12 cm (6.74 inch) HD Display,50MP + 0.08MP | 5MP Front Camera,5000 mAh Battery,T612 Processor,"73,251","4,349"
72,"MOTOROLA G62 5G (Midnight Gray, 128 GB)",4.2,"14,999",2,16.56 cm (6.52 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,Mediatek Helio A22 Processor,"73,251","4,349"
73,"Infinix HOT 30i (Glacier Blue, 128 GB)",4,"8,999",4,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP Depth Sensor + 2MP Macro Sensor | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G99 Processor,239,11
74,"Infinix HOT 30i (Mirror Black, 128 GB)",4.2,"8,999",4,17.25 cm (6.79 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G88 Processor,"10,835",462
75,Micromax X512,4,995,8,17.22 cm (6.78 inch) Full HD+ Display,108MP + 13MP + 2MP | 50MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Dimensity 8020 Processor,"1,761",109
76,"realme C51 (Carbon Black, 64 GB)",4.1,"8,999",8,17.22 cm (6.78 inch) Full HD+ Display,108MP + 13MP + 2MP | 50MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Dimensity 8020 Processor,"19,965","1,730"
77,"REDMI A1+ (Black, 32 GB)",4.3,"6,299",4,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP Depth Sensor + 2MP Macro Sensor | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G99 Processor,"13,114","1,006"
78,Micromax X512,4.1,995,6,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G99 Processor,"19,965","1,730"
79,"POCO M5 (Icy Blue, 64 GB)",4.3,"8,499",4,17.02 cm (6.7 inch) Full HD+ AMOLED Display,50 MP + 2 MP + QVGA | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G85 Processor,"11,642",613
80,"REDMI 12 (Pastel Blue, 128 GB)",4.2,"9,999",6,17.25 cm (6.79 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G88 Processor,"8,989",917
81,"Infinix Zero 30 5G (Rome Green, 256 GB)",3.9,"23,999",4,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP + 2MP | 13MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 695 Processor,"3,037",187
82,"Infinix Zero 30 5G (Golden Hour, 256 GB)",3.9,"23,999",32,16.51 cm (6.5 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Battery,Mediatek Dimensity 930 Processor,"3,037",187
83,"POCO M5 (Power Black, 64 GB)",4.1,"8,499",6,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Mediatek Helio G37 Processor,"5,353",474
84,"REDMI 11 Prime (Playful Green, 128 GB)",4.1,"10,499",8,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Ion Battery,Unisoc T612 Processor,"2,736",153
85,"Infinix NOTE 12i (Force Black, 64 GB)",4,"9,499",4,41.94 cm (16.51 cm) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 695 5G Processor,417,28
86,Micromax J22,4.1,"1,103",2,17.12 cm (6.74 inch) HD Display,50MP + 0.08MP | 5MP Front Camera,5000 mAh Battery,T612 Processor,"20,425","1,586"
87,Micromax J22,4,"1,124",8,16.51 cm (6.5 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 680 Processor,"27,741","3,359"
88,"REDMI 12 (Pastel Blue, 128 GB)",3.9,"11,499",4,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Ion Battery,Unisoc T612 Processor,"16,061","1,323"
89,"REDMI A2 (Sea Green, 64 GB)",4.2,"6,968",2,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Ion Battery,Unisoc T612 Processor,"1,08,372","5,738"
90,LAVA A1 Josh with BOL,4.1,"1,039",2,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP Depth Sensor + 2MP Macro Sensor | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G99 Processor,"23,415","2,077"
91,"POCO X5 5G (Jaguar Black, 128 GB)",4.2,"14,999",8,17.25 cm (6.79 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G88 Processor,471,31
92,"MOTOROLA g73 5G (Midnight Blue, 128 GB)",4.2,"16,999",3,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Snapdragon 4 Gen 2 Processor,471,31
93,"MOTOROLA e32 (Eco Black, 64 GB)",4.1,"7,999",3,16.56 cm (6.52 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,Mediatek Helio A22 Processor,"50,311","4,402"
94,"realme C30 (Denim Black, 32 GB)",4.1,"5,999",4,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G99 Processor,"65,847","3,943"
95,"MOTOROLA G62 5G (Frosted Blue, 128 GB)",4.1,"14,999",6,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,5000 mAh Battery,MediaTek Helio P35 Processor,"65,847","3,943"
96,"realme C51 (Carbon Black, 64 GB)",4.1,"8,999",2,16.51 cm (6.5 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Unisoc T606 Processor,"19,965","1,730"
97,"REDMI A2 (Sea Green, 64 GB)",4.1,"6,990",2,16.51 cm (6.5 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,T616 Processor,"5,353",474
98,"REDMI A2 (Classic Black, 64 GB)",4.2,"6,764",6,16.21 cm (6.38 inch) Full HD+ Display,64 MP (OIS) + 2MP | 16MP Front Camera,4500 mAh Battery,Snapdragon 695 Processor,471,31
99,"MOTOROLA G32 (Satin Silver, 128 GB)",4.2,"11,999",2,16.21 cm (6.38 inch) Full HD+ Display,64 MP (OIS) + 2MP | 16MP Front Camera,4500 mAh Battery,Snapdragon 695 Processor,471,31
100,"realme C30 (Denim Black, 32 GB)",4.3,"6,499",6,16.21 cm (6.38 inch) Full HD+ Display,64 MP (OIS) + 2MP | 16MP Front Camera,4500 mAh Battery,Snapdragon 695 Processor,"2,826",207
101,"realme C30 (Lake Blue, 32 GB)",4.2,"6,499",4,16.21 cm (6.38 inch) Full HD+ Display,64 MP (OIS) + 2MP | 16MP Front Camera,4500 mAh Battery,Snapdragon 695 Processor,"10,835",462
102,"POCO M5 (Yellow, 64 GB)",4.3,"8,499",2,17.12 cm (6.74 inch) HD Display,50MP + 0.08MP | 5MP Front Camera,5000 mAh Battery,T612 Processor,"11,642",613
103,"REDMI 12 (Moonstone Silver, 128 GB)",4.1,"11,499",4,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP + 2MP | 13MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 695 Processor,"5,597",334
104,"REDMI A2 (Aqua Blue, 64 GB)",4,"6,990",6,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G85 Processor,"5,739",477
105,"REDMI A2 (Aqua Blue, 32 GB)",4,"6,999",6,16.51 cm (6.5 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Unisoc T606 Processor,"3,536",404
106,"POCO M6 Pro 5G (Forest Green, 128 GB)",4.4,"12,999",8,17.25 cm (6.79 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G88 Processor,"49,434","3,173"
107,"REDMI A1+ (Light Green, 32 GB)",4.4,"6,299",8,16.51 cm (6.5 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Unisoc T606 Processor,"49,434","3,173"
108,"REDMI 11 Prime (Flashy Black, 128 GB)",4.4,"10,499",32,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP + 2MP | 13MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 695 Processor,"9,484",654
109,"SAMSUNG Galaxy M04 (Dark Blue, 64 GB)",4.4,"7,865",6,16.51 cm (6.5 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Unisoc T606 Processor,"9,484",654
110,"MOTOROLA e13 (Creamy White, 64 GB)",4.3,"5,999",4,16.51 cm (6.5 inch) HD Display,13MP + 2MP | 5MP Front Camera,5000 mAh Lithium-Ion Battery,Mediatek Helio P35 Processor,"2,09,436","19,075"
111,"MOTOROLA g14 (Steel Gray, 128 GB)",4.1,"9,999",6,16.51 cm (6.5 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,T616 Processor,"1,802",120
112,"vivo T2 5G (Nitro Blaze, 128 GB)",4.2,"18,999",8,16.51 cm (6.5 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Battery,Mediatek Dimensity 930 Processor,"3,283",225
113,"vivo T2 5G (Velocity Wave, 128 GB)",3.6,"18,999",4,4.5 cm (1.77 inch) QVGA Display,0MP Front Camera,800 mAh Lithium Ion Battery,SC6531E Processor,"18,631","1,646"
114,"vivo T2 5G (Velocity Wave, 128 GB)",3.9,"20,999",32,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Polymer Battery,Mediatek Dimensity 700 Processor,"10,802",957
115,"vivo T2 5G (Nitro Blaze, 128 GB)",4.1,"20,999",2,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Polymer Battery,Mediatek Dimensity 700 Processor,"20,425","1,586"
116,SAMSUNG Guru Music 2,4,"2,880",6,16.94 cm (6.67 inch) Full HD+ Display,108MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 778G Processor,"13,856","1,351"
117,LAVA Hero 600i,4,898,8,17.12 cm (6.74 inch) HD Display,50MP + 0.08MP | 5MP Front Camera,5000 mAh Battery,T612 Processor,"44,781","4,079"
118,"SAMSUNG Galaxy M14 5G (Smoky Teal, 128 GB)",4.1,"15,275",6,16.51 cm (6.5 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,T616 Processor,"1,802",120
119,"I Kall King Talking, Contact icon and Auto Call Recording",3.8,774,6,16.56 cm (6.52 inch) HD+ Display,8MP Dual Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor","3,851",420
120,"realme C51 (Carbon Black, 64 GB)",4,"8,999",8,16.51 cm (6.5 inch) HD Display,13MP + 2MP | 5MP Front Camera,5000 mAh Lithium-Ion Battery,Mediatek Helio P35 Processor,"5,739",477
121,Micromax X512,3.9,"1,092",4,16.94 cm (6.67 inch) Full HD+ Display,108MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 778G Processor,"10,802",957
122,"POCO X5 5G (Supernova Green, 128 GB)",4.1,"14,999",4,16.51 cm (6.5 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 680 Processor,"5,353",474
123,KARBONN Jumbo K9,3.4,"1,310",8,16.51 cm (6.5 inch) Full HD+ Display,50MP (OIS) + 8MP + 2MP | 13MP Front Camera,6000 mAh Battery,Exynos 1280 Processor,354,24
124,"MOTOROLA g13 (Lavender Blue, 128 GB)",3.8,"9,999",4,16.64 cm (6.55 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 695 5G Processor,536,56
125,LAVA Hero 600i,4.1,898,4,7.11 cm (2.8 inch) QVGA Display,0.3MP Rear Camera,1900 mAh Battery,SC6531E Processor,"20,425","1,586"
