,Name,Rating,Price,RAM,Display,Camera,Battery,Processor,Number of People Rated,Number of People Review
153,"SAMSUNG Galaxy M14 5G (Smoky Teal, 128 GB)",4.3,"14,695",4,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP Depth Sensor + 2MP Macro Sensor | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G99 Processor,"37,231","2,099"
154,"MOTOROLA G32 (Satin Maroon, 128 GB)",4.3,"11,999",6,17.07 cm (6.72 inch) Full HD+ Display,64MP + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G88 Processor,"37,231","2,099"
155,"SAMSUNG Galaxy F34 5G (Electric Black, 128 GB)",4.1,"18,999",4,17.07 cm (6.72 inch) Full HD+ Display,64MP + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G88 Processor,"13,912","1,201"
156,"MOTOROLA G62 5G (Frosted Blue, 128 GB)",4,"13,999",3,16.94 cm (6.67 inch) Full HD+ Display,108MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 778G Processor,"1,640",137
157,DIZO Star 500,4.3,"1,729",128,16.54 cm (6.51 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Helio P35 Processor,"1,69,228","9,728"
158,LAVA A3,4,"1,299",8,16.54 cm (6.51 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Helio P35 Processor,"1,640",137
159,"Google Pixel 6a (Charcoal, 128 GB)",4.3,"25,999",32,17.22 cm (6.78 inch) Full HD+ Display,50 MP + AI Lens | 8MP Front Camera,6000 mAh Lithium Ion Polymer Battery,Dimensity 6020 5G Processor,"8,721",624
160,"realme Narzo N53 (Feather Gold, 128 GB)",4.3,"11,598",6,17.22 cm (6.78 inch) Full HD+ Display,50 MP + AI Lens | 8MP Front Camera,6000 mAh Lithium Ion Polymer Battery,Dimensity 6020 5G Processor,"1,609",147
161,"Infinix Smart 6 HD (Force Black, 32 GB)",4.3,"5,799",8,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP | 13MP Front Camera,6000 mAh Battery,"Exynos 1330, Octa Core Processor","1,69,228","9,728"
162,"Infinix Smart 6 HD (Aqua Sky, 32 GB)",4.2,"5,799",8,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP + 2MP | 8MP Front Camera,6000 mAh Lithium Ion Battery,Exynos 850 Processor,"1,687",91
163,"REDMI Note 12 (Ice Blue, 64 GB)",4.2,"12,999",8,17.07 cm (6.72 inch) Full HD+ Display,64MP + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G88 Processor,"20,066","1,660"
164,itel Ace2 Keypad Mobile| 1000 mAh Battery|Expandable Storage 32GB,3.4,920,8,17.07 cm (6.72 inch) Full HD+ Display,64MP + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G88 Processor,354,24
165,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",4.1,"10,499",6,16.26 cm (6.4 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Mediatek Helio G99 Octa Core Processor,"13,912","1,201"
166,itel Ace2 Keypad Mobile| 1000 mAh Battery|Expandable Storage 32GB,4.2,920,6,16.94 cm (6.67 inch) Full HD+ Super AMOLED Display,50MP + 8MP + 2MP | 13MP Front Camera,5000 mAh Battery,Snapdragon 685 Processor,"2,550",144
167,"realme 10 (Clash White, 128 GB)",4,"14,499",6,16.26 cm (6.4 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Mediatek Helio G99 Octa Core Processor,"18,723","1,178"
168,"realme 11 5G (Glory Gold, 128 GB)",4.6,"18,999",16,7.11 cm (2.8 inch) QVGA Display,0.3MP Rear Camera,1900 mAh Battery,SC6531E Processor,"47,871","1,824"
169,"SAMSUNG Galaxy F13 (Sunrise Copper, 128 GB)",4.2,"10,499",4,16.33 cm (6.43 inch) Full HD+ AMOLED Display,64MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G96 Processor,"21,936","3,243"
170,"realme Narzo N53 (Feather Black, 128 GB)",4,"12,290",6,17.22 cm (6.78 inch) Full HD+ Display,108 MP + 2 MP+ AI Lens | 16MP Front Camera,5000 mAh Li-ion Polymer Battery,Dimensity 6080 Processor,53,5
171,"realme 10 (Rush Black, 64 GB)",4.1,"10,999",6,17.22 cm (6.78 inch) Full HD+ Display,108 MP + 2 MP+ AI Lens | 16MP Front Camera,5000 mAh Li-ion Polymer Battery,Dimensity 6080 Processor,"2,156",161
172,HOTLINE H310,4.3,649,6,17.22 cm (6.78 inch) Full HD+ Display,108 MP + 2 MP+ AI Lens | 16MP Front Camera,5000 mAh Li-ion Polymer Battery,Dimensity 6080 Processor,"2,08,437","15,854"
173,"REDMI Note 12 (Lunar Black, 64 GB)",3.6,"12,999",4,4.5 cm (1.77 inch) Quarter QVGA Display,0.3MP Rear Camera | 0.3MP Front Camera,800 mAh Lithium Ion Battery,Android 10.0 Processor,"64,095","7,387"
174,"REDMI 12C (Mint Green, 64 GB)",4.1,"8,809",8,4.5 cm (1.77 inch) Quarter QVGA Display,0.3MP Rear Camera,2550 mAh Battery,SC6531E Processor,"1,506",74
